,price,rent_price,area_m2,room_number,year,floor_number,features
36,2999000.0,1500.0,104.86,3.0,2021.0,ground_floor,"['garaż/miejsce parkingowe', 'ogródek', 'pom. użytkowe']"
37,779000.0,,98.0,3.0,2019.0,,"['meble', 'garaż/miejsce parkingowe', 'ogródek', 'taras']"
38,1730000.0,,54.51,2.0,2021.0,floor_2,"['teren zamknięty', 'domofon / wideofon', 'monitoring / ochrona', 'zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'telewizor', 'pralka', 'balkon', 'garaż/miejsce parkingowe', 'winda', 'pom. użytkowe']"
39,637000.0,500.0,45.0,3.0,1975.0,floor_1,"['telewizja kablowa', 'internet', 'zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'telewizor', 'pralka', 'balkon', 'piwnica', 'winda']"
40,499000.0,430.0,53.5,3.0,2005.0,floor_2,"['domofon / wideofon', 'zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'pralka', 'balkon', 'pom. użytkowe']"
41,419000.0,450.0,33.25,2.0,2020.0,floor_1,"['telewizja kablowa', 'internet', 'drzwi / okna antywłamaniowe', 'teren zamknięty', 'domofon / wideofon', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'telewizor', 'pralka', 'winda', 'taras']"
42,2800000.0,,94.0,4.0,2016.0,floor_3,"['zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'telewizor', 'pralka', 'balkon', 'garaż/miejsce parkingowe', 'pom. użytkowe']"
43,1030000.0,600.0,62.0,3.0,2019.0,floor_2,"['system alarmowy', 'monitoring / ochrona', 'meble', 'piwnica', 'garaż/miejsce parkingowe', 'winda', 'pom. użytkowe']"
44,1190000.0,,136.0,5.0,1930.0,ground_floor,"['telewizja kablowa', 'internet', 'telefon', 'system alarmowy', 'teren zamknięty', 'zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'telewizor', 'pralka', 'balkon', 'piwnica', 'garaż/miejsce parkingowe', 'ogródek', 'taras', 'dwupoziomowe', 'pom. użytkowe']"
45,880000.0,680.0,89.0,4.0,2012.0,floor_3,"['drzwi / okna antywłamaniowe', 'domofon / wideofon', 'zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'pralka', 'balkon', 'piwnica', 'garaż/miejsce parkingowe', 'winda', 'oddzielna kuchnia', 'dwupoziomowe', 'pom. użytkowe']"
46,999000.0,800.0,63.0,3.0,2016.0,floor_9,"['balkon', 'garaż/miejsce parkingowe', 'winda']"
47,775000.0,,51.96,2.0,2017.0,ground_floor,[]
48,575000.0,450.0,45.0,2.0,1970.0,floor_2,"['balkon', 'piwnica']"
49,950000.0,400.0,64.0,2.0,2013.0,floor_2,"['meble', 'balkon', 'garaż/miejsce parkingowe', 'winda', 'pom. użytkowe']"
50,770000.0,550.0,45.73,2.0,2014.0,floor_10,"['drzwi / okna antywłamaniowe', 'teren zamknięty', 'domofon / wideofon', 'monitoring / ochrona', 'zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'balkon', 'piwnica', 'winda']"
51,650000.0,,80.1,3.0,2005.0,floor_1,"['telewizja kablowa', 'internet', 'telefon', 'domofon / wideofon', 'balkon', 'garaż/miejsce parkingowe', 'pom. użytkowe']"
52,370000.0,,27.0,1.0,,floor_3,"['balkon', 'piwnica']"
53,1599000.0,700.0,72.89,3.0,2020.0,floor_4,"['balkon', 'garaż/miejsce parkingowe', 'winda', 'pom. użytkowe']"
54,,,80.41,4.0,2022.0,floor_3,"['garaż/miejsce parkingowe', 'balkon', 'winda']"
55,579000.0,600.0,51.43,2.0,2018.0,floor_4,"['telewizja kablowa', 'internet', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'balkon', 'garaż/miejsce parkingowe', 'winda', 'pom. użytkowe']"
56,949000.0,,65.7,4.0,1980.0,floor_1,"['meble', 'piwnica', 'garaż/miejsce parkingowe', 'winda']"
57,345315.0,,38.72,2.0,2023.0,floor_3,"['telewizja kablowa', 'internet', 'telefon', 'drzwi / okna antywłamaniowe', 'teren zamknięty', 'domofon / wideofon', 'balkon', 'garaż/miejsce parkingowe']"
58,720000.0,630.0,46.4,3.0,1950.0,floor_2,"['telewizja kablowa', 'internet', 'telefon', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'lodówka', 'meble', 'piekarnik', 'pralka', 'piwnica', 'garaż/miejsce parkingowe']"
59,579000.0,450.0,55.6,3.0,2010.0,ground_floor,"['telewizja kablowa', 'internet', 'telefon', 'drzwi / okna antywłamaniowe', 'teren zamknięty', 'domofon / wideofon', 'zmywarka', 'meble', 'piekarnik', 'kuchenka', 'garaż/miejsce parkingowe', 'ogródek', 'pom. użytkowe']"
